empresa,grupo_corporativo,sector,subsector,estado,ciudad,cargo_contacto,dolor_principal,viajes_mes_estimados,modo_transporte,puertos_frontera,certificacion_actual,meta_sostenibilidad,relevancia_clcircular,razon_relevancia,fuente_dato,linkedin_empresa,sitio_web
Continental México S.A. de C.V.,Continental AG (XTRA: CON),Autopartes,Neumáticos + electrónica / Tier 1,Querétaro,Querétaro,VP Supply Chain & Procurement México,Neumáticos sensibles a temperatura en almacén y tránsito; electrónica automotriz sensible; múltiples plantas MX; exigencia trazabilidad OEM,150+,Terrestre,Laredo TX,"IATF 16949, ISO 14001, ISCC+",Continental Net Zero 2050,Alta,Empresa global con programa digital de cadena de suministro activo; múltiples plantas en MX,continental.com/mexico; Continental Annual Report 2024,linkedin.com/company/continental,continental.com
Magna International México,Magna International (NYSE: MGA),Autopartes,Carrocerías / espejos / acceso / Tier 1,Coahuila,Ramos Arizpe,Director de Logística México,Múltiples familias de producto; exportación a GM/Ford/Stellantis; golpes en tránsito para partes estampadas; zona Coahuila con riesgo seguridad,200+,Terrestre,"Laredo TX, Eagle Pass TX","IATF 16949, ISO 14001, CDP B",Magna Net Zero 2050,Alta,Tier 1 global con mandato sostenibilidad; zona Coahuila fronteriza; diversidad de productos = múltiples casos de uso sensor,magna.com; Magna Sustainability Report 2024,linkedin.com/company/magna-international,magna.com
Denso Manufacturing México S.A.,DENSO Corporation (TYO: 6902),Autopartes,Sistemas térmicos / A/C / Tier 1,Aguascalientes,Aguascalientes,Supply Chain Manager México,"Componentes A/C y refrigeración sensibles a temperatura y humedad; exportación a Toyota, Honda, Mazda; trazabilidad lote exigida por OEMs japoneses",100+,Terrestre + Marítimo,"Laredo TX, Manzanillo","IATF 16949, ISO 14001, ISO 9001",DENSO Carbon Neutral 2035,Alta,OEMs japoneses exigen trazabilidad estricta; componentes críticos térmicos; apertura tecnológica alta (Denso es empresa tecnológica),denso.com/mx; DENSO Annual Report 2024,linkedin.com/company/denso,denso.com
Valeo México S.A. de C.V.,Valeo SA (EPA: FR),Autopartes,Climatización / limpiaparabrisas / Tier 1,San Luis Potosí,San Luis Potosí,Logistics Director México,Componentes de climatización sensibles a temperatura; exportación a OEMs europeos y americanos desde SLP; zona de crecimiento nearshoring,80+,Terrestre + Marítimo,"Laredo TX, Veracruz","IATF 16949, ISO 14001",Valeo Net Zero 2050,Alta,Empresa francesa con altos estándares ESG europeos; zona SLP nearshoring en crecimiento,valeo.com/mexico; Valeo Annual Report 2024,linkedin.com/company/valeo,valeo.com
ZF TRW Automotive México S.A.,ZF Friedrichshafen AG (privado),Autopartes,Airbags / cinturones / dirección / Tier 1,Guanajuato,Silao,Supply Chain Director México,Componentes de seguridad activa (airbags); temperatura crítica para componentes pirotécnicos; trazabilidad estricta exigida por NHTSA; riesgo reputacional enorme si falla,100+,Terrestre,Laredo TX,"IATF 16949, ISO 14001, ASIL-D (seguridad funcional)",ZF Net Zero 2040,Alta,Componentes de seguridad = trazabilidad no opcional; temperatura de airbags crítica; riesgo reputacional máximo,zf.com/mexico; ZF Annual Report 2024,linkedin.com/company/zf,zf.com
Flex-N-Gate México S.A. de C.V.,"Flex-N-Gate LLC (privado, Shad Khan)",Autopartes,Parachoques / puertas estampadas / Tier 1,Guanajuato,San José Iturbide,Operations Director México,Partes plásticas y estampadas sensibles a golpes; exportación directa a plantas Ford/GM EE.UU.; just-in-time con ventanas de entrega estrecha; trazabilidad de lote,80+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Flex-N-Gate ESG Report,Alta,JIT con ventanas estrechas = monitoreo en tiempo real crítico; zona Bajío en crecimiento nearshoring,flex-n-gate.com; INA directorio Tier 1,linkedin.com/company/flex-n-gate,flex-n-gate.com
Aptiv (Delphi) México S.A. de C.V.,Aptiv PLC (NYSE: APTV),Autopartes,Arneses + electrónica / Tier 1,Chihuahua,Ciudad Juárez,VP Supply Chain Mexico,"Arneses eléctricos para EV; zona Juárez de alto riesgo; temperatura y humedad crítica para conectores de alta tensión; 17,000+ empleados en Juárez",250+,Terrestre,El Paso TX / Ciudad Juárez,"IATF 16949, ISO 14001, CDP A",Aptiv Net Zero 2040 (CDP A),Alta,CDP A = líder en sostenibilidad; arneses EV de alto valor; zona fronteriza de máximo riesgo,aptiv.com; Aptiv Annual Report 2024; CDP 2024,linkedin.com/company/aptiv,aptiv.com
Mando México S.A. de C.V.,"Mando Corporation (KRX: 204320, Corea)",Autopartes,Frenos / dirección / Tier 1,Nuevo León,Apodaca,Supply Chain Manager México,Componentes frenos y dirección de seguridad crítica; exportación a Hyundai/Kia en EE.UU.; estándares coreanos de trazabilidad estrictos,60+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Mando Sustainability 2030,Alta,OEM coreano con estándares estrictos; componentes seguridad crítica; apertura tecnológica alta,mando.com/mexico; INA directorio 2024,linkedin.com/company/mando-corporation,mando.com
DHL Supply Chain México — División Automotriz,DHL / Deutsche Post,Autopartes,Operador logístico 3PL automotriz,Nuevo León,Monterrey,Director de Operaciones Automotriz,Gestión multi-cliente autopartes; visibilidad temperatura y golpes en tiempo real para Tier 1 clientes; JIT delivery a plantas OEM en EE.UU.,500+,Terrestre,"Laredo TX, El Paso TX","IATF 16949, ISO 9001, BASC, C-TPAT",DHL GoGreen 2030,Alta,3PL automotriz con mandato sostenibilidad; un contrato = acceso a múltiples Tier 1,dhl.com/mx/automotriz; DHL GoGreen 2024,linkedin.com/company/dhl,dhl.com
Ryder México S.A. de C.V.,Ryder System Inc. (NYSE: R),Autopartes,Gestión de flota + 3PL automotriz,Nuevo León,Monterrey,Country Manager / Director Operaciones,Gestión flota cruce fronterizo; monitoreo de carga autopartes en tránsito; cumplimiento C-TPAT para toda la flota,300+,Terrestre,"Laredo TX, El Paso TX","C-TPAT, BASC, ISO 9001",Ryder Net Zero Fleet 2035,Alta,Gestión de flota cross-border de alto volumen; tecnología de monitoreo = core business; apertura total a innovación,ryder.com/mexico; Ryder Annual Report 2024,linkedin.com/company/ryder-system,ryder.com
GEODIS México — División Automotriz,GEODIS / SNCF,Autopartes,Operador logístico 3PL automotriz,Nuevo León,Monterrey,Director Comercial Automotriz,Trazabilidad multi-cliente en cadena automotriz; cumplimiento normativo europeo para exportaciones a Europa vía EE.UU.; monitoreo en tiempo real,200+,Terrestre + Marítimo,"Laredo TX, Veracruz","ISO 9001, ISO 14001, BASC, C-TPAT",GEODIS Net Zero 2050,Alta,3PL con foco europeo = estándares ESG altos; multi-cliente = escala,geodis.com/mexico; GEODIS Annual Report 2024,linkedin.com/company/geodis,geodis.com
Nemak — Planta San Luis Potosí,Alfa / Nemak (BMV: NEMAKA),Autopartes,Fundición aluminio EV / Tier 1,San Luis Potosí,San Luis Potosí,Plant Manager / Logistics Coordinator,"Componentes aluminio para EV (Tesla, BMW); trazabilidad lote EV exigida; zona SLP nearshoring en expansión acelerada",80+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Nemak Net Zero 2050,Alta,EV components = trazabilidad crítica; zona SLP nearshoring en boom; Nemak en expansión activa,nemak.com; BMV Nemak RA 2024; invertia.com nearshoring SLP 2024,linkedin.com/company/nemak,nemak.com
Toyota Boshoku México,Toyota Boshoku Corp (TYO: 3116),Autopartes,Interiores / filtros / Tier 1,Guanajuato,Silao,Supply Chain Manager,Componentes interiores para Toyota; estándares TPS (Toyota Production System) ultra-estrictos; trazabilidad lote exigida; JIT con ventana ±2h,60+,Terrestre,Laredo TX,"IATF 16949, ISO 14001, Toyota QCDS",Toyota Carbon Neutral 2050,Alta,Estándares Toyota = máxima exigencia trazabilidad; JIT estricto = monitoreo en tiempo real crítico,toyota-boshoku.com/mexico; INA directorio 2024,linkedin.com/company/toyota-boshoku,toyota-boshoku.com
Panasonic Automotive México,Panasonic Holdings (TYO: 6752),Autopartes,Sistemas infotainment / EV batteries / Tier 1,Nuevo León,Monterrey,Supply Chain Director,Baterías EV y sistemas electrónicos ultra-sensibles; temperatura crítica para celdas de batería; trazabilidad célula-a-célula para Tesla; humedad cero,80+,Terrestre + Aéreo (urgentes),"Laredo TX, El Paso TX","IATF 16949, ISO 14001, ISO 45001",Panasonic Green Impact 2050,Alta,Baterías EV = caso de uso perfecto para sensor temperatura + humedad; temperatura crítica para seguridad; Tesla exige trazabilidad total,panasonic.com/mexico; Panasonic Annual Report 2024,linkedin.com/company/panasonic,panasonic.com
Grupo Antolin México,"Grupo Antolin (privado, España)",Autopartes,Interiores / techos / paneles / Tier 1,Puebla,Puebla,Supply Chain Director,"Materiales textiles sensibles a humedad; componentes de acabado sensibles a temperatura; exportación a VW, Audi desde Puebla",80+,Terrestre + Marítimo,"Laredo TX, Veracruz","IATF 16949, ISO 14001",Antolin Net Zero 2050,Media-Alta,Componentes interiores premium sensibles a condiciones de tránsito; empresa española con estándares EU,grupoantolin.com; INA directorio 2024,linkedin.com/company/grupo-antolin,grupoantolin.com
Calsonic Kansei México (Marelli),Marelli Holdings (privado),Autopartes,Sistemas A/C + paneles / Tier 1,Aguascalientes,Aguascalientes,Supply Chain Director,Componentes A/C sensibles a temperatura; exportación a Nissan/Renault; trazabilidad lote exigida,60+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Marelli Carbon Neutral 2050,Media-Alta,Zona Aguascalientes en crecimiento; proveedor Nissan/Renault con estándares japoneses/franceses,marelli.com/mexico; INA directorio 2024,linkedin.com/company/marelli,marelli.com
Tier 1 México — Samvardhana Motherson Group,Samvardhana Motherson International (India),Autopartes,Arneses + plásticos / Tier 1,Guanajuato,Silao,Director de Operaciones México,"Arneses y partes plásticas; zona Bajío; trazabilidad OEM (GM, BMW); estándares ESG europeos/indios",60+,Terrestre,Laredo TX,"IATF 16949, ISO 14001",Motherson Net Zero 2040,Media-Alta,Grupo global con expansión rápida en México; estándares ESG activos; zona Bajío nearshoring,motherson.com; INA directorio 2024,linkedin.com/company/samvardhana-motherson-group,motherson.com
IEM — Industria de Electro Mecánica (Querétaro),Independiente,Autopartes,Componentes electromecánicos / Tier 2,Querétaro,Querétaro,Gerente de Exportaciones,Componentes electromecánicos sensibles a humedad; exportación directa a Tier 1 en EE.UU.; trazabilidad exigida por clientes IATF,30-50,Terrestre,Laredo TX,IATF 16949,En proceso,Media,Tier 2 en crecimiento; zona Querétaro nearshoring; requerimientos trazabilidad de clientes Tier 1,INA directorio Tier 2 Querétaro 2024; CANACINTRA,N/A,N/A
Grupo Delphos Autopartes (Tier 2 MX),Independiente mexicano,Autopartes,Maquinados CNC / Tier 2,Guanajuato,León,Director de Operaciones y Exportaciones,Piezas maquinadas de precisión sensibles a golpes; exportación directa a Tier 1 EE.UU.; trazabilidad exigida por clientes IATF,20-40,Terrestre,Laredo TX,IATF 16949,En proceso,Media,Tier 2 MX en crecimiento; piezas precisión de alto valor; zona Bajío nearshoring,CANACINTRA Guanajuato 2024; INA,N/A,N/A
Grupo Modelo S.A. de C.V.,AB InBev,Cerveza,Productor / Exportador,Estado de México,Tultitlán,VP Logística y Supply Chain,Contaminación de contenedores con narcotráfico; Grupo Modelo exporta +$6B USD anuales hacia EE.UU. y ha enfrentado incidentes de contaminación en puertos mexicanos,500+,Marítimo + Terrestre,"Veracruz, Manzanillo, Lázaro Cárdenas, Laredo TX","ISO 9001, ISO 14001",Net Zero 2040 (AB InBev),Alta,Mayor exportador de cerveza MX→USA; alta exposición a riesgo de contaminación en contenedores; programa activo de sostenibilidad cadena de suministro,grupomodelo.com/quienes-somos; Reporte anual AB InBev 2024; BMV,linkedin.com/company/grupo-modelo,grupomodelo.com
Heineken México S.A. de C.V.,Heineken International,Cerveza,Productor / Exportador,Nuevo León,Monterrey,Director de Logística y Supply Chain / Sustainability & Circular Economy Lead,Reducción de CO₂ en logística (objetivo 2030); monitoreo temperatura y calidad en tránsito; 82% de energía en logística ya es renovable pero sin trazabilidad en tiempo real,300+,Marítimo + Terrestre,"Veracruz, Chihuahua (Juárez), Sonora","ISO 14001, UN Global Compact, FSC",Carbon neutral operaciones 2030; cadena de valor 2040,Alta,"Lanzó Green Challenge 2024 buscando startups de monitoreo ambiental en logística; contacto clave: Elena Montes de Oca, Sustainability Lead",mexicobusiness.news/heineken-green-challenge-2024; theheinekencompany.com annual report 2024,linkedin.com/company/heineken,theheinekencompany.com
Constellation Brands México (Nava + Obregón),Constellation Brands Inc. (NYSE: STZ),Cerveza,Productor / Exportador exclusivo EE.UU.,Coahuila / Sonora,Nava / Ciudad Obregón,VP Supply Chain Mexico Operations,100% de su producción va a EE.UU.; alta exposición a riesgo aduanal y de contaminación; inversión de $1.3B USD en Veracruz señala expansión masiva,400+,"Terrestre (Laredo, El Paso, Nogales)","Laredo TX, El Paso TX, Nogales AZ",ISO 9001,Reducción huella carbono 2030 (SEC filing),Alta,Único exportador cuya producción es 100% para EE.UU.; volumen creciente; requiere trazabilidad total origen-destino,constellationbrands.com; 10-K SEC 2024; brauwelt.com/constellation-veracruz,linkedin.com/company/constellation-brands,constellationbrands.com
FEMSA / Cuauhtémoc Moctezuma,FEMSA (BMV: FEMSAUBD),Cerveza,Productor / Exportador,Nuevo León,Monterrey,Director de Logística y Distribución,"Seguridad en cadena de distribución; exportaciones de Tecate, Dos Equis y Sol a EE.UU.; cumplimiento normativo FDA",250+,Terrestre + Marítimo,"Laredo TX, Brownsville TX","ISO 9001, ISO 14001",FEMSA Sostenibilidad 2030,Alta,Tercer jugador cervecero México-EE.UU.; fuerte presencia en Texas; marcas premium con riesgo reputacional alto,femsa.com/reporte-sostenibilidad-2024; BMV,linkedin.com/company/femsa,femsa.com
Grupo Modelo — Planta Piedras Negras (Corona Export),AB InBev,Cerveza,Planta exportadora fronteriza,Coahuila,Piedras Negras,Gerente de Logística de Exportación,Planta fronteriza con ruta directa a Eagle Pass TX; alto riesgo de contaminación en zona de cruce; volumen masivo de camiones diarios,200+,Terrestre (frontera directa),Eagle Pass TX / Piedras Negras,"ISO 9001, C-TPAT",AB InBev Net Zero 2040,Alta,Planta fronteriza de alta exposición; C-TPAT activo pero sin monitoreo sensor en tiempo real dentro del camión,grupomodelo.com; reportaje El Economista plantas exportadoras 2024,linkedin.com/company/grupo-modelo,grupomodelo.com
Heineken México — Planta Orizaba,Heineken International,Cerveza,Planta productora / distribución,Veracruz,Orizaba,Gerente de Logística Regional,Puerto de Veracruz señalado como foco de contaminación de carga (documentos presentación CLCircular); monitoreo en tránsito marítimo,150+,Marítimo (Puerto Veracruz),Puerto de Veracruz → Houston TX,"ISO 14001, OHSAS 18001",Heineken Net Zero 2030,Alta,Ruta marítima por Veracruz; puerto señalado como zona de riesgo de contaminación por autoridades EE.UU. y UE,theheinekencompany.com; Reporte Sostenibilidad Heineken México 2024,linkedin.com/company/heineken,theheinekencompany.com
"Heineken México — Planta Meoqui (Nueva, latas)",Heineken International,Cerveza,Planta nueva / exportación,Chihuahua,Meoqui,Director de Planta / Gerente Supply Chain,Planta nueva (2022) sin sistema de monitoreo establecido; frontera con EE.UU. a <200 km; alta exposición cruce El Paso/Juárez,80+,Terrestre,Ciudad Juárez / El Paso TX,ISO 9001 (en implementación),Heineken Net Zero; planta diseñada 100% energía renovable,Alta,Planta nueva buscando tecnología desde cero; frontera directa; inversión Heineken en sostenibilidad activa,stratego-st.com/heineken-chihuahua-2022; Heineken press release julio 2022,linkedin.com/company/heineken,theheinekencompany.com
Grupo Modelo — División Exportaciones (Manzanillo),AB InBev,Cerveza,Hub logístico marítimo,Colima,Manzanillo,Coordinador de Exportaciones Marítimas,Puerto de Manzanillo en ruta Asia-Pacífico; riesgo de contaminación en contenedores de exportación Premium; trazabilidad origen-destino,120+,Marítimo,Manzanillo → Puertos Pacífico EE.UU.,"C-TPAT, OEA",AB InBev Net Zero 2040,Alta,Hub marítimo del Pacífico; alta exposición riesgo contaminación; sin monitoreo en tiempo real del interior del contenedor,grupomodelo.com logística; Reporte AB InBev 2024,linkedin.com/company/grupo-modelo,grupomodelo.com
Cuauhtémoc Moctezuma — Planta Guadalajara,FEMSA / Heineken,Cerveza,Planta productora,Jalisco,Guadalajara,Gerente de Logística de Planta,Distribución a Baja California y cruce a California; rutas largas con riesgo de temperatura y seguridad,100+,Terrestre,"Nogales AZ, Tijuana/San Diego CA","ISO 9001, ISO 14001, C-TPAT",FEMSA Sostenibilidad 2030,Alta,Ruta Guadalajara-frontera noroeste de alta exposición; planta de escala masiva,femsa.com; Reporte FEMSA 2024,linkedin.com/company/heineken,femsa.com
DHL Supply Chain México (operador logístico cerveza),DHL / Deutsche Post,Cerveza,Operador logístico 3PL cerveza,Estado de México,Tlalnepantla,Director de Operaciones Industria Bebidas,Gestión multi-cliente de carga cerveza exportación; visibilidad unificada de temperatura y seguridad para todos sus clientes cerveceros,500+,Terrestre + Marítimo,Múltiples,"ISO 9001, ISO 14001, BASC, C-TPAT",DHL GoGreen 2030 (net zero logística),Alta,3PL que opera para Grupo Modelo y Heineken; un solo contrato accede a volumen de múltiples clientes; ya tiene mandato de sostenibilidad,dhl.com/mexico; DHL GoGreen Report 2024,linkedin.com/company/dhl,dhl.com/mx
Grupo Modelo — Planta Monterrey,AB InBev,Cerveza,Planta productora noreste,Nuevo León,Monterrey,Gerente de Logística Noreste,Hub exportación noreste; cruce Laredo; alta concentración de tráfico y riesgo de contaminación,300+,Terrestre,Laredo TX (principal),"ISO 9001, C-TPAT, OEA",AB InBev Net Zero 2040,Alta,Mayor volumen por Laredo; zona de mayor riesgo de contaminación narco documentada,grupomodelo.com; Reporte AB InBev México 2024,linkedin.com/company/grupo-modelo,grupomodelo.com
Kuehne+Nagel México (3PL cerveza exportación),Kuehne+Nagel International AG,Cerveza,Operador logístico 3PL,Nuevo León,Monterrey,Country Director / Business Development,Visibilidad de carga en tiempo real para clientes cerveceros; cumplimiento normativo CTPAT para todos sus clientes,300+,Terrestre + Marítimo,"Laredo TX, Veracruz","BASC, C-TPAT, ISO 9001",KN Net Zero Carbon 2030,Alta,3PL global con mandato de sostenibilidad; un contrato = acceso a múltiples exportadores cerveceros,kuehne-nagel.com/mexico; KN Annual Report 2024,linkedin.com/company/kuehne-nagel,kuehne-nagel.com
Grupo FEMSA Logística (FL),FEMSA (BMV: FEMSAUBD),Cerveza,Operador logístico propio FEMSA,Nuevo León,Monterrey,Director de Operaciones Logísticas,Operaciones de distribución interna y exportación FEMSA; monitoreo de temperatura para Tecate y Dos Equis en tránsito EE.UU.,200+,Terrestre,"Laredo TX, McAllen TX","ISO 9001, BASC, C-TPAT",FEMSA Sostenibilidad 2030,Alta,Brazo logístico propio de FEMSA; decisión de tecnología centralizada; alto volumen,femsa.com/logistica; Reporte FEMSA 2024,linkedin.com/company/femsa,femsa.com
XPO Logistics México (3PL cerveza frontera),XPO Inc. (NYSE: XPO),Cerveza,Operador logístico 3PL frontera,Nuevo León,Nuevo Laredo,Operations Manager Cross-Border,Cruce fronterizo Laredo; monitoreo de carga en espera de inspección aduanal; robo en zona frontera,400+,Terrestre,Nuevo Laredo / Laredo TX,"C-TPAT, FAST, ISO 9001",XPO Net Zero 2035,Alta,Operador fronterizo de alto volumen; monitoreo en tiempo real en zona de inspección = alto valor,xpo.com/mexico; XPO Annual Report 2024,linkedin.com/company/xpo-logistics,xpo.com
CEVA Logistics México (3PL bebidas),CMA CGM Group,Cerveza,Operador logístico 3PL bebidas,Estado de México,Tlalnepantla,Director Comercial Sector Bebidas,Trazabilidad multi-cliente bebidas exportación; cumplimiento C-TPAT para clientes cerveceros,200+,Terrestre + Marítimo,Múltiples,"BASC, C-TPAT, ISO 9001, ISO 14001",CMA CGM Net Zero 2050,Alta,3PL global con foco en bebidas; un contrato = múltiples clientes exportadores,cevalogistics.com/mexico; CMA CGM Annual 2024,linkedin.com/company/ceva-logistics,cevalogistics.com
Heineken México — Planta Tecate BC,Heineken International,Cerveza,Planta histórica marca Tecate,Baja California,Tecate,Gerente de Producción y Logística,Planta fronteriza; cruce a California a <5 km; alta exposición contaminación; ruta corta pero muy vigilada,100+,Terrestre,Tecate BC / Tecate CA,"ISO 9001, ISO 14001, C-TPAT",Heineken Net Zero 2030,Alta,Planta fronteriza literalmente; mayor riesgo de contaminación; ruta directa USA,theheinekencompany.com; Heineken México Reporte 2024,linkedin.com/company/heineken,theheinekencompany.com
Constellation Brands — Planta Veracruz (en construcción),Constellation Brands Inc.,Cerveza,Planta nueva marítima,Veracruz,Veracruz,VP Project & Operations Mexico,Puerto Veracruz señalado por EE.UU. y UE como zona de riesgo contaminación; nueva planta diseño desde cero; oportunidad de incorporar monitoreo desde inicio,N/A (en construcción),Marítimo,Puerto Veracruz → Houston TX,En diseño,Constellation Net Zero plan 2030,Alta,Planta greenfield; decisión de tecnología de monitoreo no tomada aún; ventana de entrada óptima; $1.3B USD inversión,constellationbrands.com/press/veracruz-2024; brauwelt.com 2024,linkedin.com/company/constellation-brands,constellationbrands.com
Grupo Modelo — Planta Obregón (Pacífico),AB InBev,Cerveza,Planta productora Pacífico,Sonora,Ciudad Obregón,Gerente de Supply Chain Regional,Exportación de Pacifico a EE.UU. (mercado de California); ruta marítima Manzanillo y terrestre Nogales,80+,Terrestre + Marítimo,Nogales AZ,"ISO 9001, C-TPAT",AB InBev Net Zero 2040,Media-Alta,Planta estratégica Pacifico; cercanía frontera Sonora-Arizona,grupomodelo.com; AB InBev Mexico footprint 2024,linkedin.com/company/grupo-modelo,grupomodelo.com
